""
"   Index Time          EntryType   Source                 InstanceID Message                                  "
"   ----- ----          ---------   ------                 ---------- -------                                  "
"    1335 May 15 15:55  Information Microsoft-Windows...          507 The description for Event ID '507' in ..."
"    1334 May 15 15:55  Information Microsoft-Windows...          172 The description for Event ID '172' in ..."
"    1333 May 15 15:54  Information Microsoft-Windows...          172 The description for Event ID '172' in ..."
"    1332 May 15 15:54  Information Microsoft-Windows...          506 The description for Event ID '506' in ..."
"    1331 May 15 15:49  Information Microsoft-Windows...          507 The description for Event ID '507' in ..."
"    1330 May 15 15:49  Information Microsoft-Windows...          172 The description for Event ID '172' in ..."
"    1329 May 15 15:48  Information Microsoft-Windows...          172 The description for Event ID '172' in ..."
"    1328 May 15 15:48  Information Microsoft-Windows...          506 The description for Event ID '506' in ..."
"    1327 May 15 15:43  Information Microsoft-Windows...          507 The description for Event ID '507' in ..."
"    1326 May 15 15:43  Information Microsoft-Windows...          172 The description for Event ID '172' in ..."
"    1325 May 15 15:29  Information Microsoft-Windows...          172 The description for Event ID '172' in ..."
"    1324 May 15 15:29  Information Microsoft-Windows...          506 The description for Event ID '506' in ..."
"    1323 May 15 15:21  Information Microsoft-Windows...          507 The description for Event ID '507' in ..."
"    1322 May 15 15:21  Information Microsoft-Windows...          506 The description for Event ID '506' in ..."
"    1321 May 15 15:14  Information Microsoft-Windows...          507 The description for Event ID '507' in ..."
"    1320 May 15 15:14  Information Microsoft-Windows...          172 The description for Event ID '172' in ..."
"    1319 May 15 15:10  Information Microsoft-Windows...          172 The description for Event ID '172' in ..."
"    1318 May 15 15:10  Information Microsoft-Windows...          506 The description for Event ID '506' in ..."
"    1317 May 15 15:07  Warning     Microsoft-Windows...         1014 Name resolution for the name geo.prod...."
"    1316 May 15 15:06  Information Microsoft-Windows...          172 The description for Event ID '172' in ..."
"    1315 May 15 15:06  Information Microsoft-Windows...          172 The description for Event ID '172' in ..."
"    1314 May 15 15:06  Warning     Microsoft-Windows...         4003 WLAN AutoConfig detected limited conne..."
"    1313 May 15 15:06  Warning     Microsoft-Windows...         1014 Name resolution for the name tile-serv..."
"    1312 May 15 15:05  Information Microsoft-Windows...          507 The description for Event ID '507' in ..."
"    1311 May 15 15:05  Warning     Win32k                 2147484349 Power Manager has not requested suppre..."
"    1310 May 15 15:05  Warning     Win32k                 2147484349 Power Manager has not requested suppre..."
"    1309 May 15 14:51  Information Microsoft-Windows...          506 The description for Event ID '506' in ..."
"    1308 May 15 14:51  Information Microsoft-Windows...          507 The description for Event ID '507' in ..."
"    1307 May 15 14:51  Warning     Win32k                 2147484348 Power Manager has requested suppressio..."
"    1306 May 15 14:51  Warning     Win32k                 2147484348 Power Manager has requested suppressio..."
"    1305 May 15 14:51  Information Microsoft-Windows...          105 The description for Event ID '105' in ..."
"    1304 May 15 14:13  Information Microsoft-Windows...           19 Installation Successful: Windows succe..."
"    1303 May 15 14:13  Information Microsoft-Windows...           43 Installation Started: Windows has star..."
"    1302 May 15 14:13  Information Microsoft-Windows...           19 Installation Successful: Windows succe..."
    1301 May 15 14:13  Information Microsoft-Windows...       
